datetime,open,high,low,close,volume
2026-01-29 05:00:00+00:00,26221.0,26224.0,26210.25,26217.0,304
2026-01-29 05:15:00+00:00,26217.25,26233.0,26216.75,26230.5,532
2026-01-29 05:30:00+00:00,26232.25,26249.5,26230.0,26249.0,884
2026-01-29 05:45:00+00:00,26249.0,26249.0,26227.75,26234.25,755
2026-01-29 06:00:00+00:00,26233.25,26264.75,26232.5,26263.0,1144
2026-01-29 06:15:00+00:00,26262.0,26268.5,26248.0,26256.0,773
2026-01-29 06:30:00+00:00,26255.25,26262.75,26241.75,26246.5,583
2026-01-29 06:45:00+00:00,26246.75,26250.75,26231.75,26246.75,767
2026-01-29 07:00:00+00:00,26246.5,26258.5,26241.0,26247.0,792
2026-01-29 07:15:00+00:00,26247.0,26250.0,26231.5,26250.0,738
2026-01-29 07:30:00+00:00,26249.75,26276.5,26245.0,26273.0,1170
2026-01-29 07:45:00+00:00,26273.75,26275.5,26251.25,26255.25,887
2026-01-29 08:00:00+00:00,26255.5,26268.75,26226.5,26265.5,2525
2026-01-29 08:15:00+00:00,26264.5,26280.5,26249.75,26268.0,1620
2026-01-29 08:30:00+00:00,26268.25,26271.25,26244.5,26261.75,1492
2026-01-29 08:45:00+00:00,26260.75,26265.5,26233.25,26248.75,1466
2026-01-29 09:00:00+00:00,26248.75,26273.25,26245.0,26266.25,1307
2026-01-29 09:15:00+00:00,26267.5,26270.75,26251.5,26252.75,1022
2026-01-29 09:30:00+00:00,26252.0,26265.75,26240.75,26253.25,1364
2026-01-29 09:45:00+00:00,26252.25,26252.25,26210.0,26211.75,1638
2026-01-29 10:00:00+00:00,26211.0,26220.5,26197.5,26204.5,2361
2026-01-29 10:15:00+00:00,26204.75,26237.0,26204.5,26228.5,1440
2026-01-29 10:30:00+00:00,26228.75,26230.0,26210.5,26218.0,736
2026-01-29 10:45:00+00:00,26217.0,26224.25,26187.0,26191.75,1414
2026-01-29 11:00:00+00:00,26191.75,26206.75,26175.25,26194.75,1874
2026-01-29 11:15:00+00:00,26195.0,26202.75,26181.0,26196.25,1678
2026-01-29 11:30:00+00:00,26194.25,26203.75,26178.5,26192.75,2191
2026-01-29 11:45:00+00:00,26193.0,26208.75,26191.0,26200.0,1229
2026-01-29 12:00:00+00:00,26201.0,26221.75,26199.0,26212.25,1397
2026-01-29 12:15:00+00:00,26212.75,26216.75,26188.5,26199.0,1496
2026-01-29 12:30:00+00:00,26198.25,26200.25,26159.0,26161.75,2075
2026-01-29 12:45:00+00:00,26162.0,26180.0,26156.5,26176.25,2065
2026-01-29 13:00:00+00:00,26176.0,26188.25,26169.75,26175.0,1383
2026-01-29 13:15:00+00:00,26174.5,26176.5,26150.5,26173.5,2399
2026-01-29 13:30:00+00:00,26173.25,26203.5,26158.75,26197.75,3021
2026-01-29 13:45:00+00:00,26198.0,26202.0,26184.0,26194.75,2322
2026-01-29 14:00:00+00:00,26194.25,26196.75,26140.25,26149.5,5447
